Sent for Payment Date,Approved Amount (rpt),Category Level 1
29/03/2019,779.00,Human Resources
20/03/2019,780.00,Human Resources
28/03/2019,780.00,Human Resources
26/03/2019,785.32,"Travel, venue hire and exhibition services"
26/03/2019,785.38,"Travel, venue hire and exhibition services"
24/03/2019,786.00,Human Resources
26/03/2019,786.28,"Travel, venue hire and exhibition services"
26/03/2019,786.80,"Travel, venue hire and exhibition services"
26/03/2019,786.92,"Travel, venue hire and exhibition services"
26/03/2019,787.11,"Travel, venue hire and exhibition services"
28/03/2019,787.45,IT & Telecoms
11/03/2019,788.38,"Travel, venue hire and exhibition services"
26/03/2019,789.21,"Travel, venue hire and exhibition services"
27/03/2019,789.77,Human Resources
28/03/2019,790.42,Facilities
26/03/2019,793.50,"Travel, venue hire and exhibition services"
25/03/2019,794.64,Facilities
07/03/2019,799.00,IT & Telecoms
28/03/2019,799.24,"Travel, venue hire and exhibition services"
26/03/2019,800.00,Human Resources
25/03/2019,801.28,"Travel, venue hire and exhibition services"
23/03/2019,801.33,"Travel, venue hire and exhibition services"
23/03/2019,806.56,Human Resources
20/03/2019,810.25,"Travel, venue hire and exhibition services"
27/03/2019,810.43,"Travel, venue hire and exhibition services"
26/03/2019,812.45,"Travel, venue hire and exhibition services"
27/03/2019,812.90,Facilities
06/03/2019,815.04,"Travel, venue hire and exhibition services"
08/03/2019,819.57,"Travel, venue hire and exhibition services"
17/03/2019,823.00,"Travel, venue hire and exhibition services"
29/03/2019,828.00,IT & Telecoms
27/03/2019,829.80,Facilities
27/03/2019,829.90,IT & Telecoms
26/03/2019,829.95,Facilities
27/03/2019,830.98,"Travel, venue hire and exhibition services"
27/03/2019,832.61,Facilities
27/03/2019,833.77,Facilities
25/03/2019,850.00,Human Resources
14/03/2019,850.00,Human Resources
27/03/2019,850.00,Human Resources
04/03/2019,852.60,Facilities
06/03/2019,854.55,Facilities
18/03/2019,869.25,"Travel, venue hire and exhibition services"
29/03/2019,876.00,"Travel, venue hire and exhibition services"
27/03/2019,879.98,IT & Telecoms
27/03/2019,882.00,IT & Telecoms
07/03/2019,890.20,"Travel, venue hire and exhibition services"
25/03/2019,899.56,"Travel, venue hire and exhibition services"
07/03/2019,910.00,Human Resources
27/03/2019,920.00,"Travel, venue hire and exhibition services"
27/03/2019,920.00,"Travel, venue hire and exhibition services"
27/03/2019,920.00,"Travel, venue hire and exhibition services"
13/03/2019,925.16,Facilities
27/03/2019,934.91,IT & Telecoms
08/03/2019,938.76,"Travel, venue hire and exhibition services"
20/03/2019,944.40,Facilities
11/03/2019,949.00,IT & Telecoms
22/03/2019,950.07,"Travel, venue hire and exhibition services"
20/03/2019,953.19,"Travel, venue hire and exhibition services"
04/03/2019,955.04,Human Resources
28/03/2019,955.06,Human Resources
19/03/2019,955.39,"Travel, venue hire and exhibition services"
22/03/2019,955.63,"Travel, venue hire and exhibition services"
18/03/2019,960.00,"Advertising, Marketing & Media"
27/03/2019,964.19,IT & Telecoms
30/03/2019,964.37,"Travel, venue hire and exhibition services"
29/03/2019,976.80,"Travel, venue hire and exhibition services"
07/03/2019,991.99,IT & Telecoms
20/03/2019,"1,000.00",Facilities
27/03/2019,"1,009.16",IT & Telecoms
25/03/2019,"1,026.80",Facilities
20/03/2019,"1,036.68","Advertising, Marketing & Media"
07/03/2019,"1,040.40",IT & Telecoms
01/03/2019,"1,057.26",IT & Telecoms
13/03/2019,"1,062.42",Human Resources
06/03/2019,"1,062.42",Facilities
15/03/2019,"1,067.19","Advertising, Marketing & Media"
14/03/2019,"1,073.28",Human Resources
15/03/2019,"1,078.00",Human Resources
28/03/2019,"1,081.92","Travel, venue hire and exhibition services"
04/03/2019,"1,085.73","Travel, venue hire and exhibition services"
04/03/2019,"1,092.00",Facilities
05/03/2019,"1,094.38","Travel, venue hire and exhibition services"
29/03/2019,"1,095.73","Travel, venue hire and exhibition services"
30/03/2019,"1,097.17",Facilities
27/03/2019,"1,098.74",IT & Telecoms
06/03/2019,"1,100.53",Facilities
06/03/2019,"1,108.61",Facilities
27/03/2019,"1,109.56",IT & Telecoms
26/03/2019,"1,120.34",Facilities
15/03/2019,"1,125.00",Human Resources
27/03/2019,"1,128.32",IT & Telecoms
27/03/2019,"1,129.51",IT & Telecoms
26/03/2019,"1,131.71","Travel, venue hire and exhibition services"
27/03/2019,"1,138.31",IT & Telecoms
13/03/2019,"1,143.33","Travel, venue hire and exhibition services"
27/03/2019,"1,151.65",IT & Telecoms
12/03/2019,"1,155.41",Facilities
27/03/2019,"1,160.95",IT & Telecoms
28/03/2019,"1,165.20","Travel, venue hire and exhibition services"
27/03/2019,"1,188.00","Travel, venue hire and exhibition services"
14/03/2019,"1,192.00",Human Resources
07/03/2019,"1,192.20",Facilities
04/03/2019,"1,197.60",Human Resources
13/03/2019,"1,200.00",Facilities
27/03/2019,"1,208.02","Travel, venue hire and exhibition services"
27/03/2019,"1,208.44","Travel, venue hire and exhibition services"
27/03/2019,"1,209.44","Travel, venue hire and exhibition services"
13/03/2019,"1,210.00","Travel, venue hire and exhibition services"
13/03/2019,"1,210.00","Travel, venue hire and exhibition services"
13/03/2019,"1,210.00","Travel, venue hire and exhibition services"
27/03/2019,"1,210.13","Travel, venue hire and exhibition services"
04/03/2019,"1,213.41",Facilities
07/03/2019,"1,216.00","Travel, venue hire and exhibition services"
06/03/2019,"1,222.80",Facilities
14/03/2019,"1,257.51","Travel, venue hire and exhibition services"
22/03/2019,"1,258.50","Travel, venue hire and exhibition services"
23/03/2019,"1,267.88","Travel, venue hire and exhibition services"
27/03/2019,"1,269.00",IT & Telecoms
28/03/2019,"1,287.00",Facilities
26/03/2019,"1,300.00","Travel, venue hire and exhibition services"
28/03/2019,"1,301.33","Travel, venue hire and exhibition services"
26/03/2019,"1,301.76",Facilities
27/03/2019,"1,310.70",Facilities
29/03/2019,"1,340.57",Facilities
29/03/2019,"1,342.03","Travel, venue hire and exhibition services"
29/03/2019,"1,346.89","Travel, venue hire and exhibition services"
07/03/2019,"1,349.35",Professional Services
04/03/2019,"1,367.12","Travel, venue hire and exhibition services"
09/03/2019,"1,377.04",Human Resources
13/03/2019,"1,380.00",Facilities
13/03/2019,"1,385.76",Human Resources
27/03/2019,"1,390.00",IT & Telecoms
21/03/2019,"1,393.50",Human Resources
30/03/2019,"1,394.05","Travel, venue hire and exhibition services"
29/03/2019,"1,406.82",Human Resources
25/03/2019,"1,407.28",IT & Telecoms
10/03/2019,"1,413.14","Travel, venue hire and exhibition services"
22/03/2019,"1,435.00","Travel, venue hire and exhibition services"
22/03/2019,"1,435.00","Travel, venue hire and exhibition services"
06/03/2019,"1,440.00",Facilities
21/03/2019,"1,443.37","Travel, venue hire and exhibition services"
15/03/2019,"1,446.42",IT & Telecoms
28/03/2019,"1,458.00","Travel, venue hire and exhibition services"
26/03/2019,"1,459.73","Travel, venue hire and exhibition services"
29/03/2019,"1,461.07",IT & Telecoms
12/03/2019,"1,462.68","Travel, venue hire and exhibition services"
27/03/2019,"1,473.11",Facilities
01/03/2019,"1,507.89","Travel, venue hire and exhibition services"
15/03/2019,"1,535.60",IT & Telecoms
28/03/2019,"1,540.09",Facilities
26/03/2019,"1,545.72","Travel, venue hire and exhibition services"
20/03/2019,"1,548.88",IT & Telecoms
28/03/2019,"1,572.00",Human Resources
26/03/2019,"1,575.09","Travel, venue hire and exhibition services"
31/03/2019,"1,575.65",Facilities
29/03/2019,"1,584.00","Advertising, Marketing & Media"
01/03/2019,"1,606.70",IT & Telecoms
30/03/2019,"1,658.29","Travel, venue hire and exhibition services"
29/03/2019,"1,660.81",Professional Services
27/03/2019,"1,670.72",Human Resources
20/03/2019,"1,680.00",Human Resources
12/03/2019,"1,688.98",Facilities
28/03/2019,"1,700.32","Travel, venue hire and exhibition services"
28/03/2019,"1,715.75",Facilities
25/03/2019,"1,724.50","Travel, venue hire and exhibition services"
29/03/2019,"1,724.58","Travel, venue hire and exhibition services"
04/03/2019,"1,736.56",Facilities
28/03/2019,"1,751.76",Human Resources
28/03/2019,"1,789.71",Facilities
26/03/2019,"1,835.51","Travel, venue hire and exhibition services"
24/03/2019,"1,898.29","Travel, venue hire and exhibition services"
29/03/2019,"1,898.40",IT & Telecoms
25/03/2019,"1,904.97","Travel, venue hire and exhibition services"
08/03/2019,"1,909.58","Travel, venue hire and exhibition services"
28/03/2019,"1,919.10","Travel, venue hire and exhibition services"
28/03/2019,"1,933.57",Facilities
01/03/2019,"1,937.86","Travel, venue hire and exhibition services"
29/03/2019,"1,942.82",IT & Telecoms
23/03/2019,"1,999.42","Travel, venue hire and exhibition services"
06/03/2019,"2,007.00",IT & Telecoms
28/03/2019,"2,040.45","Travel, venue hire and exhibition services"
28/03/2019,"2,043.00","Travel, venue hire and exhibition services"
14/03/2019,"2,056.04",Facilities
21/03/2019,"2,072.00",IT & Telecoms
12/03/2019,"2,100.00",Human Resources
27/03/2019,"2,106.36","Travel, venue hire and exhibition services"
28/03/2019,"2,120.47","Travel, venue hire and exhibition services"
11/03/2019,"2,188.00",IT & Telecoms
26/03/2019,"2,189.00",IT & Telecoms
29/03/2019,"2,245.94","Travel, venue hire and exhibition services"
27/03/2019,"2,278.05",Human Resources
30/03/2019,"2,308.29","Travel, venue hire and exhibition services"
27/03/2019,"2,334.00",IT & Telecoms
29/03/2019,"2,351.63","Travel, venue hire and exhibition services"
08/03/2019,"2,374.80","Travel, venue hire and exhibition services"
29/03/2019,"2,437.07",Human Resources
26/03/2019,"2,449.03","Travel, venue hire and exhibition services"
30/03/2019,"2,484.54","Travel, venue hire and exhibition services"
26/03/2019,"2,492.69","Travel, venue hire and exhibition services"
21/03/2019,"2,507.36","Travel, venue hire and exhibition services"
29/03/2019,"2,510.24",IT & Telecoms
18/03/2019,"2,561.85",Human Resources
25/03/2019,"2,578.80",Professional Services
28/03/2019,"2,645.73",Facilities
05/03/2019,"2,685.97","Travel, venue hire and exhibition services"
04/03/2019,"2,745.52","Travel, venue hire and exhibition services"
